beh_ao_lmr_num,year,rank,beh_ao_lmr_str
Erfurt,2007,19,Erfurt
Erfurt,2011,17,Erfurt
Erfurt,2015,36,Erfurt
Erfurt,2019,40,Erfurt
Gera,2007,82,Gera
Gera,2011,106,Gera
Gera,2015,113,Gera
Gera,2019,126,Gera
Jena,2007,43,Jena
Jena,2011,33,Jena
Jena,2015,48,Jena
Jena,2019,55,Jena
Nordhausen,2007,116,Nordhausen
Nordhausen,2011,119,Nordhausen
Nordhausen,2015,115,Nordhausen
Nordhausen,2019,117,Nordhausen
Eisenach,2007,64,Eisenach
Eisenach,2011,90,Eisenach
Eisenach,2015,90,Eisenach
Eisenach,2019,112,Eisenach
Unstrut-Hainich,2007,124,Unstrut-Hainich
Unstrut-Hainich,2011,124,Unstrut-Hainich
Unstrut-Hainich,2015,119,Unstrut-Hainich
Unstrut-Hainich,2019,134,Unstrut-Hainich
Suhl,2007,90,Suhl
Suhl,2011,99,Suhl
Suhl,2015,94,Suhl
Suhl,2019,106,Suhl
Saalfeld-Rudolstadt,2007,79,Saalfeld-Rudolstadt
Saalfeld-Rudolstadt,2011,92,Saalfeld-Rudolstadt
Saalfeld-Rudolstadt,2015,105,Saalfeld-Rudolstadt
Saalfeld-Rudolstadt,2019,110,Saalfeld-Rudolstadt
